Регион	Среднегодовая численность занятых   (тыс# человек)	Среднедушевые денежные доходы (руб#/мес#)	Среднемесячная номинальная  начисленная з#п# работающих, руб#	Валовый региональный продукт, (млн# руб#)	Основные фонды в экономике пополной балансовой стоимости (млн# р	Обьем промышленной продукции (млн#руб#)	Продукция сельского хозяйства# Всего (млн#руб#) 	Оборот розничной торговли (млн#руб#)	Инвестиции в основной капитал (млн#руб#)	Стоимость основных фондов отраслей экономики по полной балансово	Число предприятий	Посевные площади сельскохозяйственных культур (тыс# га)	Ввод в действие зданий жилого и нежилого назначения, число здани	Соотношение мужчин и женщин# (женщин на 1000 мужчин)
Республика Карелия	331,5	1654,4	1856,9	11306	87068	18469	1509	7717	2874,8	87068	14587	67,6	292	1110
Республика Коми	495,3	2058	2417,2	28349,6	195855	37747	2038	14160	6575,1	195855	18162	85,3	961	1006
Архангельская область	587,8	1268,8	1770,6	22763	156484	27185	4368	10710	4018	156454	18786	219,7	486	1065
Ненецкий АО	20,7	1692,1	2813,3	0	11916	3903	108	306	447,6	0	573	0,1	29	1049
Вологодская область	598,4	1264,5	1673,1	24117,7	111734	53936	8310	8998	6080,2	111734	20773	713,7	1034	1122
Мурманская область	422,5	2392,7	2687	23846,6	145693	35262	902	15928	5623,6	145693	16047	12,5	202	1042
Ленинградская область 	695,9	1013,9	1443,7	21171,2	193328	36895	12625	12461	12566,4	193328	28642	386,6	2088	1156
Новгородская область	312,3	1336,7	1245,6	9401,8	60544	14151	3317	7572	4061,8	60544	12844	294,9	698	1174
Псковская область	341,5	888	1001,8	6512,2	79760	5946	4592	5132	1460,9	79760	13717	603,4	516	1167
Брянская область	588,1	879,7	859,6	11883,6	119525	9705	8924	7780	1616,9	119525	16510	936,1	942	1161
Владимирская область	724,4	935,1	1085,6	15994,9	118136	24561	7741	9946	3494,9	118136	21581	490,2	1242	1190
Ивановская область	490,7	710,7	841,5	9049,9	73777	10340	3766	5651	1063,9	73777	18460	455,5	407	1204
Калужская область	492,7	934,3	1108,7	10916,1	94922	12377	5830	6818	2833,1	94922	19825	561,3	775	1149
Костромская область	336,4	974,4	1124,4	8881,8	80644	9410	4597	5220	3198,6	80644	12856	498	436	1151
Московская область	2386,6	1458,1	1579,8	100611,6	550932	96456	20894	75356	37124,1	550932	114551	995,9	8877	1188
Орловская область	415,6	1068,5	1046,9	10246,2	56710	9089	7368	7684	3121,9	56710	12242	1144,9	2508	1168
Рязанская область	537,1	919,2	1029,3	14185,6	98390	15403	8336	8220	2411,6	98390	23014	1109,8	658	1182
Смоленская область	471,6	1204,1	1136,8	12234	115645	19135	5665	11089	5139	115645	17422	843	550	1161
Тверская область	665,4	819,6	1109,3	17747	160626	19020	7345	9374	6025,1	160626	30627	1030,2	1336	1191
Тульская область	785,7	1087,3	1100,8	19050,9	150537	27925	8706	12349	4579,4	150537	24330	1011,1	811	1203
Ярославская область	651,4	1271,2	1290,1	22348	168364	33367	7255	11847	6056,8	168364	26601	608	1025	1182
Республика Марий Эл	342,8	696,1	857,4	6568	64907	6741	5348	3284	1361,2	64907	10506	548,5	1173	1126
Республика Мордовия	400,1	825,6	777,6	9323	66917	9885	6057	5272	2047,3	66917	12469	904,3	1464	1163
Чувашская Республика	601,9	763,9	847,7	12123	110353	13405	7143	7159	3280,8	110353	14634	725,7	2657	1137
Кировская область	749	928,7	1055,8	16930,6	147158	23204	9482	11248	3329	147158	26108	1672,4	985	1117
Нижегородская область	1678,8	1083,8	1272	52740,9	282776	74331	12783	26470	10852,2	282776	53607	1552,9	1778	1186
Белгородская область	676,6	1083,7	1194	19608,7	149495	30780	11413	12588	6994,8	149495	22421	1442,3	3113	1162
Воронежская область	1105,1	1022,4	956,1	23906,6	203924	24237	15431	19906	5634,2	203924	33821	2360	1981	1170
Курская область	606,1	1023,6	1055,8	16827,1	118867	19838	9419	10353	4181,1	118867	18801	1408,1	735	1163
Липецкая область	571,7	1187,1	1217,2	17043,4	122147	39207	8227	11844	3726,8	122147	14587	1230,8	1205	1158
Тамбовская область	532,4	1068,6	882,9	10471,7	109546	9114	7412	10685	1893,6	109546	16720	1490,4	964	1170
Республика Калмыкия	118,6	579	806,4	1703,5	20008	948	782	554	465,5	20008	13878	261,3	346	1059
Республика Татарстан	1669,5	1243,7	1293	67700	437056	97605	21327	32940	20385,2	437056	50045	3037,9	6440	1140
Астраханская область	421,8	1077,5	1278,7	10773	94863	10956	2633	7130	5491,2	94863	15245	105,9	2208	1091
Волгоградская область	1147	936,8	1127	30906,7	208743	40001	12928	16625	5656,1	208743	53335	2780	2116	1128
Пензенская область	674,5	767,3	911,4	11131	127927	12674	7016	8648	2593,9	127927	18622	1656,6	817	1159
Самарская область	1472,1	1962,1	1622,9	72661,6	360042	108387	14234	67381	13202,9	360042	67512	2148,8	4000	1150
Саратовская область	1196,2	1066,4	989,5	28663,1	221280	29584	12598	20799	7549,7	221280	45852	4190,4	2633	1133
