[meta] uuid,[meta] weight,[dem] country_code,[dem] age,[dem] gender,[dem] education_level,[dem] degree_of_urbanisation,[dem] residency,[dem] household_size,[dem] immigration,[dem] origin,[dem] settlement_size,[dem] hometown,[dem] ethnicity,[dem] religion,[dem] employment_status,[dem] employment_status_in_education,[dem] work_type_routine,[dem] work_type_manual,[dem] lgbtq,[dem] income_net_monthly,[dem] disposable_income,[dem] household_finances_past12months,[dem] financial_security,[dem] change_household_finances_next12months,[dem] job_security,[dem] status_national_economy,[dem] change_economy_country_past12months,[dem] economy_country_next12months,[aud] social_networks_regularly_used,[aud] social_media_activity_rank,[aud] online_sharing_frequency,[aud] sharing_network_size,[aud] member_organization,[aud] organization_activities_timeperweek,[aud] media_tv_hours,[aud] media_radio_hours,[aud] media_print_hours,[question] opinion_government,[question] political_view,[question] likelihood_to_demonstrate,[question] vote_for_in_us_election,[question] frequency_of_voting,[question] vote_next_national_election,[question] important_issues_when_voting,[question] ranking_importance_of_issues_when_voting,[question] preferred_type_of_political_leader,[question] frequent_sharing_of_politicalviews,[question] independence_or_respect,[question] obedience_or_selfreliance,[question] consideration_or_good_behaviour,[question] curiosity_or_good_manners,[question] democracy_own_country_satisfaction,[question] next_generation_opportunities,[question] currentplace_change_past5years,[question] hometown_change_past5years,[question] country_direction_past5years,[question] financial_situation_change_past5years,[question] international_trade_gain_or_loss,[question] country_comes_first,[question] improving_life_by_hardwork,[question] conspiracy,[question] government_controlled_by_elite,[question] trust_in_own_judgment,[question] perceived_effect_of_diversity,[question] gender_discrimination_importance,[question] family_friends_highereducation,[question] worldview
4c7889c0-9d27-0134-c1a1-0a62e1402143,1.224826827,US,26,1,5,1,1,2,4,,4,2,1,2,4,,1,2,2,3,2,2,2,2,2,6,6,6,2 | 1 | 13,1 | 4 | 2 | 5 | 3,3,1,5,,4,2,1,2,4,4,4,2,2,5 | 15,5,3 | 2 | 5 | 1 | 4 | 6,3,2,1,1,2,2,2,6,,2,2,2,1,1,5,3,2,2,1,4,2
8442eca0-9d27-0134-c242-0a62e1402143,0.5609149359,US,65,1,4,2,1,3,3,1,3,2,1,1,1,,4,3,2,10,4,3,1,2,1,3,3,2,15,4 | 1 | 2 | 5 | 3,6,,3 | 2 | 4,2,4,3,3,2,5,4,4,1,1,3 | 6 | 7 | 12 | 14,12 | 7 | 3 | 6 | 14,3 | 5 | 2 | 4 | 6 | 1,2,1,2,1,1,1,2,2,,2,2,4,2,1,4,2,4,1,1,2,1
fb251930-9d2a-0134-957c-0aaafcbd6b1f,1.188923887,US,39,2,3,1,1,3,4,,8,1,3,7,7,,5,5,2,3,1,3,1,3,5,5,5,5,1 | 7 | 4 | 13 | 5 | 2 | 6 | 3,1 | 5 | 2 | 3 | 4,2,2,3,2,4,4,1,4,5,3,2,1,1,7 | 11 | 12 | 13 | 14,12 | 7 | 11 | 13 | 14,1 | 3 | 4 | 6 | 2 | 5,2,2,1,1,2,2,1,1,1,2,3,2,1,1,1,1,1,1,1,2,1
a9cced10-9d30-0134-152b-0aaafcbd6b1f,1.011333523,US,19,2,5,1,3,,3,13,8,2,2,8,7,,2,3,2,2,1,1,1,6,5,2,4,3,13 | 4 | 2 | 3 | 6 | 5 | 1,4 | 2 | 3 | 1 | 5,1,2,5,,1,3,2,1,4,3,2,6,1,4 | 6 | 10 | 11,6 | 4 | 11 | 10,1 | 5 | 4 | 6 | 2 | 3,2,2,1,2,2,2,5,6,,4,4,2,1,1,3,4,2,1,3,7,2
23406820-9d31-0134-9b11-0a62e1402143,0.4694166456,US,32,2,4,2,1,2,4,,3,2,1,1,1,,2,2,2,5,3,2,2,2,2,4,4,2,6 | 1 | 5 | 7,5 | 4 | 2 | 1 | 3,3,2,4,2,4,2,1,4,4,4,2,3,2,4 | 1 | 7 | 6 | 8,7 | 4 | 1 | 8 | 6,5 | 3 | 2 | 4 | 6 | 1,4,2,1,1,2,2,2,2,,2,2,2,2,2,4,2,2,4,2,1,2
9c0ed560-9d32-0134-5d4b-0aaafcbd6b1f,0.5688166714,US,40,2,3,2,1,2,4,,3,2,1,4,4,,2,1,2,7,3,2,1,2,1,2,3,2,1 | 5 | 13,4 | 1 | 2 | 3 | 5,1,2,3,2,8,2,1,1,6,4,1,1,1,7 | 10 | 13 | 6,7 | 10 | 13 | 6,3 | 5 | 1 | 6 | 4 | 2,5,2,1,1,2,2,2,1,,2,2,1,3,1,4,2,3,1,3,2,2
72e4b580-9d33-0134-f583-0aaafcbd6b1f,1.216969901,US,17,1,3,1,1,4,4,,4,1,1,8,2,,3,2,2,13,2,4,3,4,1,3,3,3,4 | 8 | 1 | 13,4 | 1 | 3 | 5 | 2,3,1,2,1,7,1,1,3,3,4,4,6,2,3 | 14 | 13 | 12,3 | 12 | 14 | 13,2 | 5 | 1 | 6 | 3 | 4,4,1,1,1,1,2,3,6,6,3,3,2,3,2,3,2,3,4,2,2,2
a6e9fb40-9d33-0134-f656-0aaafcbd6b1f,0.4804899079,US,14,1,2,2,1,4,2,9,3,2,6,8,6,3,5,5,2,13,6,3,1,3,5,6,6,4,10 | 4 | 13 | 3,4 | 1 | 2 | 3 | 5,3,1,1 | 4,3,2,2,2,2,4,4,4,6,1,6 | 1,1 | 6,2 | 5 | 3 | 4 | 1 | 6,5,3,1,1,2,2,3,6,,2,3,2,2,2,3,2,3,3,1,7,2
fbb70d20-9d33-0134-eb6b-0a62e1402143,1.188923887,US,33,2,4,1,1,1,2,5,3,1,1,8,1,,1,1,1,7,1,5,4,5,4,3,5,5,1 | 2,1 | 3 | 2 | 4 | 5,1,2,2 | 4,3,6,4,1,5,2,1,2,1,1,13 | 12 | 11,11 | 12 | 13,3 | 2 | 5 | 4 | 6 | 1,1,2,1,1,2,2,4,1,1,4,4,3,1,1,1,1,1,1,1,1,1
3c0a55d0-9d34-0134-ec66-0a62e1402143,0.4804899079,US,17,1,2,2,1,4,5,,3,1,1,1,4,,5,5,2,13,6,6,5,6,5,6,6,6,3 | 4,1 | 5 | 4 | 2 | 3,6,,1,6,1,1,1,3,2,2,4,6,5,16,,4 | 2 | 3 | 6 | 1 | 5,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2
